geoid,name,B19013001,"B19013001, Error"
14000US06037123204,"Census Tract 1232.04, Los Angeles, CA",41375,6920
14000US06037123205,"Census Tract 1232.05, Los Angeles, CA",46083,5995
14000US06037123206,"Census Tract 1232.06, Los Angeles, CA",32266,4110
14000US06037123301,"Census Tract 1233.01, Los Angeles, CA",57031,13893
14000US06037123303,"Census Tract 1233.03, Los Angeles, CA",44477,10585
14000US06037123304,"Census Tract 1233.04, Los Angeles, CA",39631,7250
14000US06037123410,"Census Tract 1234.10, Los Angeles, CA",50481,11837
14000US06037123420,"Census Tract 1234.20, Los Angeles, CA",44790,8189
14000US06037123510,"Census Tract 1235.10, Los Angeles, CA",45338,10526
14000US06037123520,"Census Tract 1235.20, Los Angeles, CA",45521,8821
14000US06037123601,"Census Tract 1236.01, Los Angeles, CA",55241,5845
14000US06037123602,"Census Tract 1236.02, Los Angeles, CA",50667,9566
14000US06037123700,"Census Tract 1237, Los Angeles, CA",65278,14059
14000US06037123800,"Census Tract 1238, Los Angeles, CA",75096,27454
14000US06037123901,"Census Tract 1239.01, Los Angeles, CA",66771,22414
14000US06037123902,"Census Tract 1239.02, Los Angeles, CA",70592,10535
14000US06037124000,"Census Tract 1240, Los Angeles, CA",86881,10434
14000US06037124102,"Census Tract 1241.02, Los Angeles, CA",50064,6026
14000US06037124103,"Census Tract 1241.03, Los Angeles, CA",43787,5797
14000US06037124104,"Census Tract 1241.04, Los Angeles, CA",43816,9194
14000US06037124105,"Census Tract 1241.05, Los Angeles, CA",45764,6439
14000US06037124201,"Census Tract 1242.01, Los Angeles, CA",64364,9242
14000US06037124203,"Census Tract 1242.03, Los Angeles, CA",52561,9622
14000US06037124204,"Census Tract 1242.04, Los Angeles, CA",43385,5936
14000US06037124300,"Census Tract 1243, Los Angeles, CA",42826,11760
14000US06037124400,"Census Tract 1244, Los Angeles, CA",82500,17867
14000US06037124500,"Census Tract 1245, Los Angeles, CA",90565,24905
14000US06037124600,"Census Tract 1246, Los Angeles, CA",64712,10227
14000US06037124700,"Census Tract 1247, Los Angeles, CA",89674,29364
14000US06037124902,"Census Tract 1249.02, Los Angeles, CA",31852,7760
14000US06037124903,"Census Tract 1249.03, Los Angeles, CA",61429,8148
14000US06037125100,"Census Tract 1251, Los Angeles, CA",76595,6558
14000US06037125200,"Census Tract 1252, Los Angeles, CA",75260,13204
14000US06037125310,"Census Tract 1253.10, Los Angeles, CA",48958,11910
14000US06037125320,"Census Tract 1253.20, Los Angeles, CA",39977,9416
14000US06037125401,"Census Tract 1254.01, Los Angeles, CA",62934,8571
14000US06037125402,"Census Tract 1254.02, Los Angeles, CA",80299,16094
14000US06037125501,"Census Tract 1255.01, Los Angeles, CA",46767,13339
14000US06037125502,"Census Tract 1255.02, Los Angeles, CA",68700,6841
14000US06037125600,"Census Tract 1256, Los Angeles, CA",82401,21919
14000US06037127102,"Census Tract 1271.02, Los Angeles, CA",44955,11645
14000US06037127103,"Census Tract 1271.03, Los Angeles, CA",52096,8328
